"4","1","A habitat designed to float like a balloon in a planet’s upper atmosphere.","Aerostat: A habitat designed to float like a balloon in a planet’s upper atmosphere.","Aerostat","Habtech","VR"
"4","1","An artificial brain, housing an ego run in a software brain-state. Used in both synthmorphs and pods.","Cyberbrain: An artificial brain, housing an ego run in a software brain-state. Used in both synthmorphs and pods.","Cyberbrain","Swarmanoid","Morph"
"4","1","Illegal and black market farcasting and egocasting services.","Darkcast: Illegal and black market farcasting and egocasting services.","Darkcast","Mercurials","Mesh"
"4","1","The rules that govern the reality of a virtual reality simulspace.","Domain Rules: The rules that govern the reality of a virtual reality simulspace.","Domain Rules","X-Caster","Extrasolar"
"4","1","A robot controlled through teleoperation (rather than directly via onboard AI).","Drone: A robot controlled through teleoperation (rather than directly via onboard AI).","Drone","Circumlunar","Main Belt"
"4","1","Personal mesh devices that are flexible, stretchable, self-cleaning, translucent, and solar-powered. From ectolink (external link).","Ecto: Personal mesh devices that are flexible, stretchable, self-cleaning, translucent, and solar-powered. From ectolink (external link).","Ecto","Mist","Skinning"
"4","1","The part of you that switches from body to body. AKA ghost, soul, essence, spirit, persona.","Ego: The part of you that switches from body to body. AKA ghost, soul, essence, spirit, persona.","Ego","Forknapping","Body Bank"
"4","1","Term for sending egos via farcasting.","Egocasting: Term for sending egos via farcasting.","Egocasting","Flats","Genehacker"
"4","1","Augmented-reality images that you “see” in your head. (“Entoptic” means “within the eye.”)","Entoptics: Augmented-reality images that you “see” in your head. (“Entoptic” means “within the eye.”)","Entoptics","Lost Generation","Mesh ID"
"4","1","Extraterrestial Intelligence. The term Firewall uses to refer to the god-like post-singularity alien intelligence theorized to be responsible for the Exsurgent virus.","ETI: Extraterrestial Intelligence. The term Firewall uses to refer to the god-like post-singularity alien intelligence theorized to be responsible for the Exsurgent virus.","ETI","Singularity","Jamming"
"4","1","Genetically enhanced humans (between genefixed and transhumans). AKA genefreaks, ascended, elevated.","Exalts: Genetically enhanced humans (between genefixed and transhumans). AKA genefreaks, ascended, elevated.","Exalts","Drone","Novacrab"
"4","1","A planet in another solar system.","Exoplanet: A planet in another solar system.","Exoplanet","Morph","Teleoperation"
"4","1","Someone infected by the Exsurgent virus.","Exsurgent: Someone infected by the Exsurgent virus.","Exsurgent","Oort Cloud","Smart Animals"
"4","1","The multi-vector virus created by an unknown ETI and seeded throughout the galaxy in Bracewell probes. The Exsurgent virus is self-morphing and can infect both computer systems and biological creatures.","Exsurgent Virus: The multi-vector virus created by an unknown ETI and seeded throughout the galaxy in Bracewell probes. The Exsurgent virus is self-morphing and can infect both computer systems and biological creatures.","Exsurgent Virus","AR","X-Caster"
"4","1","Outside the solar system.","Extrasolar: Outside the solar system.","Extrasolar","Slitheroid","O’Neill Cylinder"
"4","1","The alien ambassadorial race that deals with transhumanity. Also called Brokers.","Factors: The alien ambassadorial race that deals with transhumanity. Also called Brokers.","Factors","Jamming","Anarchist"
"4","1","The apocalypse; the singularity and wars that nearly brought about the downfall of transhumanity.","The Fall: The apocalypse; the singularity and wars that nearly brought about the downfall of transhumanity.","The Fall","Forknapping","Trojans"
"4","1","Intrasolar communication utilizing classical communication technologies (radio, laser, etc.) and quantum teleportation.","Farcasting: Intrasolar communication utilizing classical communication technologies (radio, laser, etc.) and quantum teleportation.","Farcasting","Rusters","Cornucopia Machine"
"4","1","Long-distance space shipper.","Farhauler: Long-distance space shipper.","Farhauler","Xer","Seed AI"
"4","1","The secret cross-faction conspiracy that works to protect transhumanity from “existential threats” (risks to transhumanity’s continued existence).","Firewall: The secret cross-faction conspiracy that works to protect transhumanity from “existential threats” (risks to transhumanity’s continued existence).","Firewall","Synths","Lagrange Point"
"4","1","Someone born or used to living on a planet or moon with gravity.","Flatlander: Someone born or used to living on a planet or moon with gravity.","Flatlander","Synths","Reclaimers"
"4","1","Baseline humans (not genetically modified). Also called norms.","Flats: Baseline humans (not genetically modified). Also called norms.","Flats","Circumlunar","XP"
"4","1","A shape-changing synthmorph capable of joining together with other flexbots in a modular fashion to create larger shapes.","Flexbot: A shape-changing synthmorph capable of joining together with other flexbots in a modular fashion to create larger shapes.","Flexbot","Ecto","Swarmanoid"
"4","1","Copying an ego. Not all forks are full copies. AKA backups.","Forking: Copying an ego. Not all forks are full copies. AKA backups.","Forking","Spime","Iktomi"
"4","1","Kidnapping a backup or fork.","Forknapping: Kidnapping a backup or fork.","Forknapping","Mentons","Xer"
"4","1","Faster-Than-Light.","FTL: Faster-Than-Light.","FTL","Neogenesis","Titanian"
"4","1","A transhuman combat morph.","Fury: A transhuman combat morph.","Fury","Sylphs","Iktomi"
"4","1","Explorers who take their chances using a Pandora gate to go somewhere previously unexplored.","Gatecrashers: Explorers who take their chances using a Pandora gate to go somewhere previously unexplored.","Gatecrashers","VPNs","Novacrab"
"4","1","Someone who manipulates genetic code to create genetic modifications or even new life.","Genehacker: Someone who manipulates genetic code to create genetic modifications or even new life.","Genehacker","Nanoswarm","AR"
"4","1","A transhuman combat morph optimized for stealth and infiltration.","Ghost: A transhuman combat morph optimized for stealth and infiltration.","Ghost","Sylphs","Simulspace"
"4","1","The act of carrying an infomorph in a special implant module inside your head.","Ghost-riding: The act of carrying an infomorph in a special implant module inside your head.","Ghost-riding","Flatlander","Domain Rules"
"4","1","Trojan asteroids or moons that share the same orbit as a larger planet or moon, but are 60 degrees ahead in the orbit at the L4 Lagrange point. The term Greeks normally refers to the asteroids orbiting around Jupiter’s L4 point. See also “Trojans.”","Greeks: Trojan asteroids or moons that share the same orbit as a larger planet or moon, but are 60 degrees ahead in the orbit at the L4 Lagrange point. The term Greeks normally refers to the asteroids orbiting around Jupiter’s L4 point. See also “Trojans.”","Greeks","Arachnoid","Skinning"
"4","1","A habitat technician.","Habtech: A habitat technician.","Habtech","Zeroes","Re-instantiated"
"4","1","A transhuman modified for hibernation, for extensive travel in space.","Hibernoid: A transhuman modified for hibernation, for extensive travel in space.","Hibernoid","Pandora Gates","Synthmorph"
"4","1","An asteroid made from mostly ice rather than rock or metals.","Iceteroid: An asteroid made from mostly ice rather than rock or metals.","Iceteroid","Neogenesis","Iktomi"
"4","1","The name given to the mysterious alien race whose relics have been found beyond the Pandora gates.","Iktomi: The name given to the mysterious alien race whose relics have been found beyond the Pandora gates.","Iktomi","Sylphs","Infolife"
"4","1","Indentured servants who have contracted their labor to a hypercorp or other authority, usually in exchange for a morph.","Indentures: Indentured servants who have contracted their labor to a hypercorp or other authority, usually in exchange for a morph.","Indentures","Slitheroid","Spime"
"4","1","Artificial general intelligences and seed AIs.","Infolife: Artificial general intelligences and seed AIs.","Infolife","Lost Generation","Meme"
"4","1","A digitized ego; a virtual body. Also known as datamorphs, uploads, backups.","Infomorph: A digitized ego; a virtual body. Also known as datamorphs, uploads, backups.","Infomorph","Infolife","Psi"
"4","1","“Infomorph refugee,” or someone who left everything behind on Earth during the Fall—even their own body.","Infugee: “Infomorph refugee,” or someone who left everything behind on Earth during the Fall—even their own body.","Infugee","ETI","Re-instantiated"
"4","1","Those who live in isolated communities far outside the system (in the Kuiper Belt and Oort Cloud). AKA outsters, fringers.","Isolates: Those who live in isolated communities far outside the system (in the Kuiper Belt and Oort Cloud). AKA outsters, fringers.","Isolates","Bracewell Probe","Drone"
"4","1","The act of “becoming” a teleoperated drone thanks to XP technology. Also sometimes applied to accesing the real-time XP feed from lifeloggers and others.","Jamming: The act of “becoming” a teleoperated drone thanks to XP technology. Also sometimes applied to accesing the real-time XP feed from lifeloggers and others.","Jamming","Habtech","Singularity Seeker"
"4","1","A region of space extending from Neptune’s orbit out to about 55 AU, lightly populated with asteroids, comets, and dwarf planets.","Kuiper Belt: A region of space extending from Neptune’s orbit out to about 55 AU, lightly populated with asteroids, comets, and dwarf planets.","Kuiper Belt","Skin","VR"
"4","1","One of five areas in respect to a small planetary body orbiting a larger one in which the gravitational forces of those two bodies are neutralized. Lagrange points are considered stable and ideal locations for habitats.","Lagrange Point: One of five areas in respect to a small planetary body orbiting a larger one in which the gravitational forces of those two bodies are neutralized. Lagrange points are considered stable and ideal locations for habitats.","Lagrange Point","Aerostat","Forknapping"
"4","1","A recording of one’s entire life experience, made possible due to near-unlimited computer memory.","Lifelog: A recording of one’s entire life experience, made possible due to near-unlimited computer memory.","Lifelog","Neotenics","Synthmorph"
"4","1","In an effort to repopulate post-Fall, a generation of children were reared using forced-growth methods. The results were disastrous","Lost Generation: In an effort to repopulate post-Fall, a generation of children were reared using forced-growth methods. The results were disastrous","Lost Generation","Chimeric","Infomorph"
"4","1","The main asteroid belt, a torus ring orbiting between Mars and Jupiter.","Main Belt: The main asteroid belt, a torus ring orbiting between Mars and Jupiter.","Main Belt","Transhuman","Re-instantiated"
"4","1","A viral idea. A unit of information transmitted socially that self-replicates and mutates in a manner analagous to genes.","Meme: A viral idea. A unit of information transmitted socially that self-replicates and mutates in a manner analagous to genes.","Meme","Infolife","Synthmorph"
"4","1","Transhumans optimized for mental and cognitive ability.","Mentons: Transhumans optimized for mental and cognitive ability.","Mentons","Olympian","AGI"
"4","1","The non-human sapient elements of the transhuman “family,” including AGIs and uplifted animals.","Mercurials: The non-human sapient elements of the transhuman “family,” including AGIs and uplifted animals.","Mercurials","Farhauler","Reclaimers"
"4","1","The omnipresent wireless mesh data network. Also used as a verb (to mesh) and adjective (meshed or unmeshed).","Mesh: The omnipresent wireless mesh data network. Also used as a verb (to mesh) and adjective (meshed or unmeshed).","Mesh","Anarchist","Kuiper Belt"
"4","1","The unique signature attached to one’s mesh activity.","Mesh ID: The unique signature attached to one’s mesh activity.","Mesh ID","Iktomi","Argonauts"
"4","1","Zero-g or near weightless environments.","Microgravity: Zero-g or near weightless environments.","Microgravity","Extrasolar","Shell"
"4","1","The clouds of AR data that sometimes fog up your perception/displays.","Mist: The clouds of AR data that sometimes fog up your perception/displays.","Mist","VPNs","Reaper"
"4","1","A physical body. AKA suit, jacket, sleeve, shell, form.","Morph: A physical body. AKA suit, jacket, sleeve, shell, form.","Morph","Kuiper Belt","Sentinels"
"4","1","Personal AI helper programs.","Muse: Personal AI helper programs.","Muse","Morph","Rusters"
"4","1","A nano-scale machine.","Nanobot: A nano-scale machine.","Nanobot","Circumjovian","Mesh ID"
"4","1","Pro-tech ecological movement.","Nano-Ecology: Pro-tech ecological movement.","Nano-Ecology","Body Bank","Lost Generation"
"4","1","A mass of tiny nanobots unleashed into an environment.","Nanoswarm: A mass of tiny nanobots unleashed into an environment.","Nanoswarm","XP","Ghost-riding"
"4","1","Uplifted ravens and gray parrots.","Neo-Avians: Uplifted ravens and gray parrots.","Neo-Avians","Indentures","Circumlunar"
"4","1","The creation of new life forms via genetic manipulation and biotechnology.","Neogenesis: The creation of new life forms via genetic manipulation and biotechnology.","Neogenesis","Cyberbrain","Domain Rules"
"4","1","Uplifted chimpanzees, gorillas, and orangutans.","Neo-Hominids: Uplifted chimpanzees, gorillas, and orangutans.","Neo-Hominids","Rusters","Resleeving"
"4","1","Transhumans modified to retain a child-like form.","Neotenics: Transhumans modified to retain a child-like form.","Neotenics","Ego","Morph"
"4","1","A pod created from genetically engineered spider crab stock.","Novacrab: A pod created from genetically engineered spider crab stock.","Novacrab","Nano-Ecology","Posthuman"
"4","1","A transhuman biomorph modified for athleticism and endurance.","Olympian: A transhuman biomorph modified for athleticism and endurance.","Olympian","Greeks","Morph"
"4","1","A soda-can shaped habitat, spun for gravity.","O’Neill Cylinder: A soda-can shaped habitat, spun for gravity.","O’Neill Cylinder","TITANs","Re-instantiated"
"4","1","The spherical “cloud” of comets that surrounds the solar system out to about one light-year from the sun.","Oort Cloud: The spherical “cloud” of comets that surrounds the solar system out to about one light-year from the sun.","Oort Cloud","Neogenesis","AU"
"4","1","Personal Area Network. The network created when you slave all of your minor personal electronics to your ecto or mesh inserts.","PAN: Personal Area Network. The network created when you slave all of your minor personal electronics to your ecto or mesh inserts.","PAN","Olympian","Basilisk Hack"
"4","1","The wormhole gateways discovered after the disappearance of the TITANs.","Pandora Gates: The wormhole gateways discovered after the disappearance of the TITANs.","Pandora Gates","Indentures","Posthuman"
"4","1","Mixed biological-synthetic morphs. Pod clones are force-grown and feature cyberbrains. Also known as biobots, skinjobs, replicants. From “pod people.”","Pods: Mixed biological-synthetic morphs. Pod clones are force-grown and feature cyberbrains. Also known as biobots, skinjobs, replicants. From “pod people.”","Pods","Singularity Seeker","Forknapping"
"4","1","A human or transhuman individual or species that has been genetically or cognitively modified so extensively as to no longer be human (a step beyond transhuman). AKA parahuman.","Posthuman: A human or transhuman individual or species that has been genetically or cognitively modified so extensively as to no longer be human (a step beyond transhuman). AKA parahuman.","Posthuman","Nano-Ecology","Exoplanet"
"4","1","A group of transhuman-friendly seed AIs that were created by the Lifeboat Project (precursors to the argonauts) years before the TITANs became selfaware and that (mostly) avoided Exsurgent infection. The Prometheans secretly back Firewall and work to defeat existential threats.","Prometheans: A group of transhuman-friendly seed AIs that were created by the Lifeboat Project (precursors to the argonauts) years before the TITANs became selfaware and that (mostly) avoided Exsurgent infection. The Prometheans secretly back Firewall and work to defeat existential threats.","Prometheans","Uplifting","Singularity Seeker"
"4","1","Members of the Firewall internal structure.","Proxies: Members of the Firewall internal structure.","Proxies","Circumlunar","Infolife"
"4","1","Parapsychological powers acquired due to infection by the Watts-MacLeod strain of Exsurgent virus.","Psi: Parapsychological powers acquired due to infection by the Watts-MacLeod strain of Exsurgent virus.","Psi","Factors","Exalts"
"4","1","A warbot synthmorph.","Reaper: A warbot synthmorph.","Reaper","Singularity","Nanobot"
"4","1","A transhuman faction that seeks to lift the interdiction and reclaim Earth.","Reclaimers: A transhuman faction that seeks to lift the interdiction and reclaim Earth.","Reclaimers","VR","Uplifting"
"4","1","A rural Martian. See Barsoomian. AKA Reds.","Redneck: A rural Martian. See Barsoomian. AKA Reds.","Redneck","Fury","Pandora Gates"
"4","1","Refugees from Earth who escaped only as bodiless infomorphs, but who have since been resleeved.","Re-instantiated: Refugees from Earth who escaped only as bodiless infomorphs, but who have since been resleeved.","Re-instantiated","Darkcast","Drone"
"4","1","Changing bodies or downloading into a new one. Also called remorphing, reincarnation, shifting, rebirthing.","Resleeving: Changing bodies or downloading into a new one. Also called remorphing, reincarnation, shifting, rebirthing.","Resleeving","Mist","AI"
"4","1","Biomorphs optimized for life on Mars.","Rusters: Biomorphs optimized for life on Mars.","Rusters","Cornucopia Machine","Xer"
"4","1","Hostile programs that can damage or affect cyberbrains.","Scorchers: Hostile programs that can damage or affect cyberbrains.","Scorchers","Nanoswarm","Posthuman"
"4","1","The nomadic faction of space punks/gypsies that travel from station to station in heavily modified barges or swarms of ships. Notorious for being a roving black market.","Scum: The nomadic faction of space punks/gypsies that travel from station to station in heavily modified barges or swarms of ships. Notorious for being a roving black market.","Scum","Microgravity","XP"
"4","1","An AGI that is capable of recursive self-improvement, allowing it to reach god-like levels of intelligence.","Seed AI: An AGI that is capable of recursive self-improvement, allowing it to reach god-like levels of intelligence.","Seed AI","Swarmanoid","Uplifting"
"4","1","Agents of Firewall.","Sentinels: Agents of Firewall.","Sentinels","Clade","Genehacker"
"4","1","A synthetic physical morph. AKA synthmorph.","Shell: A synthetic physical morph. AKA synthmorph.","Shell","Body Bank","Rusters"
"4","1","The avatar you use in VR simulspace programs.","Simulmorph: The avatar you use in VR simulspace programs.","Simulmorph","AR","Autonomists"
"4","1","Full-immersion virtual reality environments.","Simulspace: Full-immersion virtual reality environments.","Simulspace","Skinning","Resleeving"
"4","1","A point of rapid, exponential, and recursive technological progress, beyond which the future becomes impossible to predict. Often used to refer to the ascension of seed AI to god-like levels of intelligence.","Singularity: A point of rapid, exponential, and recursive technological progress, beyond which the future becomes impossible to predict. Often used to refer to the ascension of seed AI to god-like levels of intelligence.","Singularity","Mist","Genehacker"
"4","1","People who pursue relics and evidence of the TITANs or other possible avenues to super-intelligence, either to learn more about it or to become part of a super-intelligence themselves.","Singularity Seeker: People who pursue relics and evidence of the TITANs or other possible avenues to super-intelligence, either to learn more about it or to become part of a super-intelligence themselves.","Singularity Seeker","ETI","Domain Rules"
"4","1","A biological physical morph. AKA meat, flesh.","Skin: A biological physical morph. AKA meat, flesh.","Skin","Flexbot","Smart Animals"
"4","1","Changing your perceived environment via augmented reality programming.","Skinning: Changing your perceived environment via augmented reality programming.","Skinning","Iceteroid","Async"
"4","1","A psi power.","Sleight: A psi power.","Sleight","Morph","Egocasting"
"4","1","A snake-like robotic synthmorph.","Slitheroid: A snake-like robotic synthmorph.","Slitheroid","Psi","AU"
"4","1","Partially uplifted animal species (including dogs, cats, and rats). Some other large smart animals (elephants) are nearly extinct.","Smart Animals: Partially uplifted animal species (including dogs, cats, and rats). Some other large smart animals (elephants) are nearly extinct.","Smart Animals","Meme","Scorchers"
"4","1","Meshed, self-aware, location-aware devices.","Spime: Meshed, self-aware, location-aware devices.","Spime","Iktomi","Rusters"
"4","1","Humans that are genetically modified to eliminate genetic diseases and some other traits. Also known as genefixed, cleangenes, tweaks.","Splicers: Humans that are genetically modified to eliminate genetic diseases and some other traits. Also known as genefixed, cleangenes, tweaks.","Splicers","AF","Skinning"
"4","1","A synthetic morph composed from a swarm of tiny insect-sized robots.","Swarmanoid: A synthetic morph composed from a swarm of tiny insect-sized robots.","Swarmanoid","Darkcast","Async"
"4","1","Transhuman biomorphs with exotic good looks.","Sylphs: Transhuman biomorphs with exotic good looks.","Sylphs","Argonauts","Circumjovian"
"4","1","Synthetic morphs. Robotic shells possessed by transhuman egos.","Synthmorph: Synthetic morphs. Robotic shells possessed by transhuman egos.","Synthmorph","Uplifting","Neogenesis"
"4","1","A specific type of synthmorph. Synths are standard androids/gynoids; robots that are designed to look humanoid, though they are usually noticeably not human.","Synths: A specific type of synthmorph. Synths are standard androids/gynoids; robots that are designed to look humanoid, though they are usually noticeably not human.","Synths","Spime","Domain Rules"
"4","1","Remote control.","Teleoperation: Remote control.","Teleoperation","BF","Infomorph"
"4","1","Someone from Titan, a moon of Saturn.","Titanian: Someone from Titan, a moon of Saturn.","Titanian","Redneck","Exsurgent"
"4","1","The human-created, recursively improving, military seed AIs that underwent a hard-takeoff singularity and prompted the Fall. Original military designation was TITAN","TITANs: The human-created, recursively improving, military seed AIs that underwent a hard-takeoff singularity and prompted the Fall. Original military designation was TITAN","TITANs","Synths","Reclaimers"
"4","1","A donut-shaped habitat, spun for gravity.","Torus: A donut-shaped habitat, spun for gravity.","Torus","Cortical Stack","Extrasolar"
"4","1","Containing genetic traits from other species.","Transgenic: Containing genetic traits from other species.","Transgenic","The Fall","Habtech"
"4","1","An extensively modified human.","Transhuman: An extensively modified human.","Transhuman","Cyberbrain","PAN"
"4","1","Asteroids or moons that share the same orbit as a larger planet or moon, but follow about 60 degrees ahead or behind at the L4 and L5 Lagrange points. The term Trojans normally refers to the asteroids orbiting at Jupiter’s Lagrange points, but Mars, Saturn, Neptune, and other bodies also have Trojans. See also “Greeks.”","Trojans: Asteroids or moons that share the same orbit as a larger planet or moon, but follow about 60 degrees ahead or behind at the L4 and L5 Lagrange points. The term Trojans normally refers to the asteroids orbiting at Jupiter’s Lagrange points, but Mars, Saturn, Neptune, and other bodies also have Trojans. See also “Greeks.”","Trojans","Ghost-riding","Aerostat"
"4","1","Genetically transforming an animal species to sapience.","Uplifting: Genetically transforming an animal species to sapience.","Uplifting","Flexbot","Ego"
"4","1","Space laborer.","Vacworker: Space laborer.","Vacworker","Cislunar","Trojans"
"4","1","A failed mind emulation or crippled fork/infomorph (from vaporware).","Vapor: A failed mind emulation or crippled fork/infomorph (from vaporware).","Vapor","Bots","Infomorph"
"4","1","Virtual Private Networks. Networks that operate within the mesh, usually encrypted for privacy/security.","VPNs: Virtual Private Networks. Networks that operate within the mesh, usually encrypted for privacy/security.","VPNs","Main Belt","Hibernoid"
"4","1","Virtual Reality. Imposing an artificially constructed hyper-real reality over one’s physical senses.","VR: Virtual Reality. Imposing an artificially constructed hyper-real reality over one’s physical senses.","VR","Xenomorph","Cyberbrain"
"4","1","Someone who transmits/sells XP recordings of their experiences.","X-Caster: Someone who transmits/sells XP recordings of their experiences.","X-Caster","The Fall","Slitheroid"
"4","1","Alien life form.","Xenomorph: Alien life form.","Xenomorph","Simulspace","Basilisk Hack"
"4","1","As in “X-er”—someone addicted or obsessed with XP. Sometime also used to refer to people making XP.","Xer: As in “X-er”—someone addicted or obsessed with XP. Sometime also used to refer to people making XP.","Xer","Farcasting","Scum"
"4","1","Experience Playback. Experiencing someone else’s sensory input (in real-time or recorded). Also called experia, sim, simsense, playback.","XP: Experience Playback. Experiencing someone else’s sensory input (in real-time or recorded). Also called experia, sim, simsense, playback.","XP","Reclaimers","Neogenesis"
"4","1","Existential Risk. Something that threatens the very existence of transhumanity.","X-Risk: Existential Risk. Something that threatens the very existence of transhumanity.","X-Risk","Entoptics","Cislunar"
"4","1","People without wireless mesh access. Common with some indentures.","Zeroes: People without wireless mesh access. Common with some indentures.","Zeroes","TITANs","Prometheans"
