"4","1","A habitat designed to float like a balloon in a planet’s upper atmosphere.","Aerostat: A habitat designed to float like a balloon in a planet’s upper atmosphere.","Aerostat","BF","Swarmanoid"
"4","1","An image or other sensory input that affects the brain’s visual cortex and pattern recognition abilities in such a way as to cause a glitch and possibly exploit it and rewrite neural code.","Basilisk Hack: An image or other sensory input that affects the brain’s visual cortex and pattern recognition abilities in such a way as to cause a glitch and possibly exploit it and rewrite neural code.","Basilisk Hack","Hibernoid","Cyberbrain"
"4","1","A microgravity habitat made from a tunneled-out asteroid or moon.","Beehive: A microgravity habitat made from a tunneled-out asteroid or moon.","Beehive","Shell","Skinning"
"4","1","Before the Fall (used for reference dating).","BF: Before the Fall (used for reference dating).","BF","Bots","Cornucopia Machine"
"4","1","An anti-technology movement that argues for strict regulation of nanofabrication, AI, uploading, forking, cognitive enhancements, and other disruptive technologies.","Bioconservative: An anti-technology movement that argues for strict regulation of nanofabrication, AI, uploading, forking, cognitive enhancements, and other disruptive technologies.","Bioconservative","Reclaimers","Ego"
"4","1","A biological body, whether a flat, splicer, genetically engineered transhuman, or pod.","Biomorph: A biological body, whether a flat, splicer, genetically engineered transhuman, or pod.","Biomorph","Novacrab","Lifelog"
"4","1","A service for leasing, selling, acquiring, or storing a morph. AKA dollhouse, morgue.","Body Bank: A service for leasing, selling, acquiring, or storing a morph. AKA dollhouse, morgue.","Body Bank","Skin","Iceteroid"
"4","1","Robots. AI-piloted synthetic shells.","Bots: Robots. AI-piloted synthetic shells.","Bots","Seed AI","Splicers"
"4","1","A type of autonomous monitoring deepspace probe meant to make contact with alien civilizations.","Bracewell Probe: A type of autonomous monitoring deepspace probe meant to make contact with alien civilizations.","Bracewell Probe","Exsurgent","Mesh ID"
"4","1","Exiles who live on the fringes of the system, as well as other isolated and well-hidden nooks and crannies. Also called isolates, fringers, drifters.","Brinkers: Exiles who live on the fringes of the system, as well as other isolated and well-hidden nooks and crannies. Also called isolates, fringers, drifters.","Brinkers","Slitheroid","Spime"
"4","1","A cheap, common, mass-produced synthetic shell.","Case: A cheap, common, mass-produced synthetic shell.","Case","Bioconservative","Novacrab"
"4","1","Transgenic, containing genetic traits from other species.","Chimeric: Transgenic, containing genetic traits from other species.","Chimeric","Sentinels","Lifelog"
"4","1","Orbiting Jupiter.","Circumjovian: Orbiting Jupiter.","Circumjovian","Xenomorph","Muse"
"4","1","Orbiting the Moon.","Circumlunar: Orbiting the Moon.","Circumlunar","Zeroes","Torus"
"4","1","Orbiting the Sun.","Circumsolar: Orbiting the Sun.","Circumsolar","Clade","Gatecrashers"
"4","1","Between the Earth and the Moon.","Cislunar: Between the Earth and the Moon.","Cislunar","Simulmorph","Transhuman"
"4","1","A species or group of organisms with common features. Used to refer to transhuman subspecies and morph types.","Clade: A species or group of organisms with common features. Used to refer to transhuman subspecies and morph types.","Clade","Circumlunar","Mesh ID"
"4","1","A habitat made from a hollowed-out asteroid or moon, spun for gravity.","Cole Bubble: A habitat made from a hollowed-out asteroid or moon, spun for gravity.","Cole Bubble","Flatlander","Habtech"
"4","1","A general-purpose nanofabricator.","Cornucopia Machine: A general-purpose nanofabricator.","Cornucopia Machine","X-Risk","Meme"
"4","1","An implanted memory cell used for ego backup. Located where the spine meets the skull; can be cut out.","Cortical Stack: An implanted memory cell used for ego backup. Located where the spine meets the skull; can be cut out.","Cortical Stack","Circumsolar","AU"
"4","1","An artificial brain, housing an ego run in a software brain-state. Used in both synthmorphs and pods.","Cyberbrain: An artificial brain, housing an ego run in a software brain-state. Used in both synthmorphs and pods.","Cyberbrain","Isolates","Rusters"
"4","1","Illegal and black market farcasting and egocasting services.","Darkcast: Illegal and black market farcasting and egocasting services.","Darkcast","TITANs","Async"
"4","1","The rules that govern the reality of a virtual reality simulspace.","Domain Rules: The rules that govern the reality of a virtual reality simulspace.","Domain Rules","Ecto","Egocasting"
"4","1","A robot controlled through teleoperation (rather than directly via onboard AI).","Drone: A robot controlled through teleoperation (rather than directly via onboard AI).","Drone","Reaper","Meme"
"4","1","Personal mesh devices that are flexible, stretchable, self-cleaning, translucent, and solar-powered. From ectolink (external link).","Ecto: Personal mesh devices that are flexible, stretchable, self-cleaning, translucent, and solar-powered. From ectolink (external link).","Ecto","Forknapping","Circumlunar"
"4","1","The part of you that switches from body to body. AKA ghost, soul, essence, spirit, persona.","Ego: The part of you that switches from body to body. AKA ghost, soul, essence, spirit, persona.","Ego","Circumlunar","Entoptics"
"4","1","Term for sending egos via farcasting.","Egocasting: Term for sending egos via farcasting.","Egocasting","Ecto","Vacworker"
"4","1","Augmented-reality images that you “see” in your head. (“Entoptic” means “within the eye.”)","Entoptics: Augmented-reality images that you “see” in your head. (“Entoptic” means “within the eye.”)","Entoptics","Re-instantiated","Smart Animals"
"4","1","Extraterrestial Intelligence. The term Firewall uses to refer to the god-like post-singularity alien intelligence theorized to be responsible for the Exsurgent virus.","ETI: Extraterrestial Intelligence. The term Firewall uses to refer to the god-like post-singularity alien intelligence theorized to be responsible for the Exsurgent virus.","ETI","Cole Bubble","Mesh ID"
"4","1","Genetically enhanced humans (between genefixed and transhumans). AKA genefreaks, ascended, elevated.","Exalts: Genetically enhanced humans (between genefixed and transhumans). AKA genefreaks, ascended, elevated.","Exalts","Sleight","Ego"
"4","1","A planet in another solar system.","Exoplanet: A planet in another solar system.","Exoplanet","Arachnoid","Swarmanoid"
"4","1","Someone infected by the Exsurgent virus.","Exsurgent: Someone infected by the Exsurgent virus.","Exsurgent","Entoptics","Simulmorph"
"4","1","The multi-vector virus created by an unknown ETI and seeded throughout the galaxy in Bracewell probes. The Exsurgent virus is self-morphing and can infect both computer systems and biological creatures.","Exsurgent Virus: The multi-vector virus created by an unknown ETI and seeded throughout the galaxy in Bracewell probes. The Exsurgent virus is self-morphing and can infect both computer systems and biological creatures.","Exsurgent Virus","Forking","Swarmanoid"
"4","1","Outside the solar system.","Extrasolar: Outside the solar system.","Extrasolar","Psi","Muse"
"4","1","The alien ambassadorial race that deals with transhumanity. Also called Brokers.","Factors: The alien ambassadorial race that deals with transhumanity. Also called Brokers.","Factors","Mesh","Exoplanet"
"4","1","The apocalypse; the singularity and wars that nearly brought about the downfall of transhumanity.","The Fall: The apocalypse; the singularity and wars that nearly brought about the downfall of transhumanity.","The Fall","Splicers","Exoplanet"
"4","1","Intrasolar communication utilizing classical communication technologies (radio, laser, etc.) and quantum teleportation.","Farcasting: Intrasolar communication utilizing classical communication technologies (radio, laser, etc.) and quantum teleportation.","Farcasting","Infugee","Xer"
"4","1","Long-distance space shipper.","Farhauler: Long-distance space shipper.","Farhauler","Pods","Lagrange Point"
"4","1","The secret cross-faction conspiracy that works to protect transhumanity from “existential threats” (risks to transhumanity’s continued existence).","Firewall: The secret cross-faction conspiracy that works to protect transhumanity from “existential threats” (risks to transhumanity’s continued existence).","Firewall","Mesh ID","Ecto"
"4","1","Someone born or used to living on a planet or moon with gravity.","Flatlander: Someone born or used to living on a planet or moon with gravity.","Flatlander","Neo-Avians","Morph"
"4","1","Baseline humans (not genetically modified). Also called norms.","Flats: Baseline humans (not genetically modified). Also called norms.","Flats","Lagrange Point","Simulspace"
"4","1","A shape-changing synthmorph capable of joining together with other flexbots in a modular fashion to create larger shapes.","Flexbot: A shape-changing synthmorph capable of joining together with other flexbots in a modular fashion to create larger shapes.","Flexbot","Mesh","Autonomists"
"4","1","Copying an ego. Not all forks are full copies. AKA backups.","Forking: Copying an ego. Not all forks are full copies. AKA backups.","Forking","Teleoperation","Exoplanet"
"4","1","Kidnapping a backup or fork.","Forknapping: Kidnapping a backup or fork.","Forknapping","Iceteroid","Redneck"
"4","1","Faster-Than-Light.","FTL: Faster-Than-Light.","FTL","Egocasting","Genehacker"
"4","1","A transhuman combat morph.","Fury: A transhuman combat morph.","Fury","AGI","Lagrange Point"
"4","1","Explorers who take their chances using a Pandora gate to go somewhere previously unexplored.","Gatecrashers: Explorers who take their chances using a Pandora gate to go somewhere previously unexplored.","Gatecrashers","Bracewell Probe","Isolates"
"4","1","Someone who manipulates genetic code to create genetic modifications or even new life.","Genehacker: Someone who manipulates genetic code to create genetic modifications or even new life.","Genehacker","Cyberbrain","FTL"
"4","1","A transhuman combat morph optimized for stealth and infiltration.","Ghost: A transhuman combat morph optimized for stealth and infiltration.","Ghost","Lifelog","Meme"
"4","1","The act of carrying an infomorph in a special implant module inside your head.","Ghost-riding: The act of carrying an infomorph in a special implant module inside your head.","Ghost-riding","Sylphs","FTL"
"4","1","Trojan asteroids or moons that share the same orbit as a larger planet or moon, but are 60 degrees ahead in the orbit at the L4 Lagrange point. The term Greeks normally refers to the asteroids orbiting around Jupiter’s L4 point. See also “Trojans.”","Greeks: Trojan asteroids or moons that share the same orbit as a larger planet or moon, but are 60 degrees ahead in the orbit at the L4 Lagrange point. The term Greeks normally refers to the asteroids orbiting around Jupiter’s L4 point. See also “Trojans.”","Greeks","Synthmorph","Iceteroid"
"4","1","A habitat technician.","Habtech: A habitat technician.","Habtech","Exoplanet","Singularity"
"4","1","A transhuman modified for hibernation, for extensive travel in space.","Hibernoid: A transhuman modified for hibernation, for extensive travel in space.","Hibernoid","Ego","Gatecrashers"
"4","1","An asteroid made from mostly ice rather than rock or metals.","Iceteroid: An asteroid made from mostly ice rather than rock or metals.","Iceteroid","Morph","Aerostat"
"4","1","The name given to the mysterious alien race whose relics have been found beyond the Pandora gates.","Iktomi: The name given to the mysterious alien race whose relics have been found beyond the Pandora gates.","Iktomi","Genehacker","Sleight"
"4","1","Indentured servants who have contracted their labor to a hypercorp or other authority, usually in exchange for a morph.","Indentures: Indentured servants who have contracted their labor to a hypercorp or other authority, usually in exchange for a morph.","Indentures","Exoplanet","Cole Bubble"
"4","1","Artificial general intelligences and seed AIs.","Infolife: Artificial general intelligences and seed AIs.","Infolife","AU","Entoptics"
"4","1","A digitized ego; a virtual body. Also known as datamorphs, uploads, backups.","Infomorph: A digitized ego; a virtual body. Also known as datamorphs, uploads, backups.","Infomorph","Brinkers","Flats"
"4","1","“Infomorph refugee,” or someone who left everything behind on Earth during the Fall—even their own body.","Infugee: “Infomorph refugee,” or someone who left everything behind on Earth during the Fall—even their own body.","Infugee","Olympian","Uplifting"
"4","1","Those who live in isolated communities far outside the system (in the Kuiper Belt and Oort Cloud). AKA outsters, fringers.","Isolates: Those who live in isolated communities far outside the system (in the Kuiper Belt and Oort Cloud). AKA outsters, fringers.","Isolates","Firewall","Basilisk Hack"
"4","1","The act of “becoming” a teleoperated drone thanks to XP technology. Also sometimes applied to accesing the real-time XP feed from lifeloggers and others.","Jamming: The act of “becoming” a teleoperated drone thanks to XP technology. Also sometimes applied to accesing the real-time XP feed from lifeloggers and others.","Jamming","Nanoswarm","Arachnoid"
"4","1","A region of space extending from Neptune’s orbit out to about 55 AU, lightly populated with asteroids, comets, and dwarf planets.","Kuiper Belt: A region of space extending from Neptune’s orbit out to about 55 AU, lightly populated with asteroids, comets, and dwarf planets.","Kuiper Belt","Drone","Neo-Hominids"
"4","1","One of five areas in respect to a small planetary body orbiting a larger one in which the gravitational forces of those two bodies are neutralized. Lagrange points are considered stable and ideal locations for habitats.","Lagrange Point: One of five areas in respect to a small planetary body orbiting a larger one in which the gravitational forces of those two bodies are neutralized. Lagrange points are considered stable and ideal locations for habitats.","Lagrange Point","Meme","Cyberbrain"
"4","1","A recording of one’s entire life experience, made possible due to near-unlimited computer memory.","Lifelog: A recording of one’s entire life experience, made possible due to near-unlimited computer memory.","Lifelog","Shell","Cyberbrain"
"4","1","In an effort to repopulate post-Fall, a generation of children were reared using forced-growth methods. The results were disastrous","Lost Generation: In an effort to repopulate post-Fall, a generation of children were reared using forced-growth methods. The results were disastrous","Lost Generation","Beehive","Ghost-riding"
"4","1","The main asteroid belt, a torus ring orbiting between Mars and Jupiter.","Main Belt: The main asteroid belt, a torus ring orbiting between Mars and Jupiter.","Main Belt","Habtech","Bots"
"4","1","A viral idea. A unit of information transmitted socially that self-replicates and mutates in a manner analagous to genes.","Meme: A viral idea. A unit of information transmitted socially that self-replicates and mutates in a manner analagous to genes.","Meme","Exalts","Pods"
"4","1","Transhumans optimized for mental and cognitive ability.","Mentons: Transhumans optimized for mental and cognitive ability.","Mentons","Flatlander","Genehacker"
"4","1","The non-human sapient elements of the transhuman “family,” including AGIs and uplifted animals.","Mercurials: The non-human sapient elements of the transhuman “family,” including AGIs and uplifted animals.","Mercurials","Async","Reclaimers"
"4","1","The omnipresent wireless mesh data network. Also used as a verb (to mesh) and adjective (meshed or unmeshed).","Mesh: The omnipresent wireless mesh data network. Also used as a verb (to mesh) and adjective (meshed or unmeshed).","Mesh","Transhuman","Exsurgent"
"4","1","The unique signature attached to one’s mesh activity.","Mesh ID: The unique signature attached to one’s mesh activity.","Mesh ID","Singularity","Body Bank"
"4","1","Zero-g or near weightless environments.","Microgravity: Zero-g or near weightless environments.","Microgravity","Nanoswarm","Mist"
"4","1","The clouds of AR data that sometimes fog up your perception/displays.","Mist: The clouds of AR data that sometimes fog up your perception/displays.","Mist","Iktomi","Mercurials"
"4","1","A physical body. AKA suit, jacket, sleeve, shell, form.","Morph: A physical body. AKA suit, jacket, sleeve, shell, form.","Morph","Singularity Seeker","AR"
"4","1","Personal AI helper programs.","Muse: Personal AI helper programs.","Muse","Exoplanet","Seed AI"
"4","1","A nano-scale machine.","Nanobot: A nano-scale machine.","Nanobot","Case","Transgenic"
"4","1","Pro-tech ecological movement.","Nano-Ecology: Pro-tech ecological movement.","Nano-Ecology","Nanobot","FTL"
"4","1","A mass of tiny nanobots unleashed into an environment.","Nanoswarm: A mass of tiny nanobots unleashed into an environment.","Nanoswarm","TITANs","Egocasting"
"4","1","Uplifted ravens and gray parrots.","Neo-Avians: Uplifted ravens and gray parrots.","Neo-Avians","Bracewell Probe","Bots"
"4","1","The creation of new life forms via genetic manipulation and biotechnology.","Neogenesis: The creation of new life forms via genetic manipulation and biotechnology.","Neogenesis","X-Caster","Bioconservative"
"4","1","Uplifted chimpanzees, gorillas, and orangutans.","Neo-Hominids: Uplifted chimpanzees, gorillas, and orangutans.","Neo-Hominids","Forknapping","Body Bank"
"4","1","Transhumans modified to retain a child-like form.","Neotenics: Transhumans modified to retain a child-like form.","Neotenics","Domain Rules","Ghost"
"4","1","A pod created from genetically engineered spider crab stock.","Novacrab: A pod created from genetically engineered spider crab stock.","Novacrab","Argonauts","Scum"
"4","1","A transhuman biomorph modified for athleticism and endurance.","Olympian: A transhuman biomorph modified for athleticism and endurance.","Olympian","Barsoomian","Resleeving"
"4","1","A soda-can shaped habitat, spun for gravity.","O’Neill Cylinder: A soda-can shaped habitat, spun for gravity.","O’Neill Cylinder","Seed AI","Scorchers"
"4","1","The spherical “cloud” of comets that surrounds the solar system out to about one light-year from the sun.","Oort Cloud: The spherical “cloud” of comets that surrounds the solar system out to about one light-year from the sun.","Oort Cloud","Sylphs","Greeks"
"4","1","Personal Area Network. The network created when you slave all of your minor personal electronics to your ecto or mesh inserts.","PAN: Personal Area Network. The network created when you slave all of your minor personal electronics to your ecto or mesh inserts.","PAN","Mercurials","Ego"
"4","1","The wormhole gateways discovered after the disappearance of the TITANs.","Pandora Gates: The wormhole gateways discovered after the disappearance of the TITANs.","Pandora Gates","Firewall","Beehive"
"4","1","Mixed biological-synthetic morphs. Pod clones are force-grown and feature cyberbrains. Also known as biobots, skinjobs, replicants. From “pod people.”","Pods: Mixed biological-synthetic morphs. Pod clones are force-grown and feature cyberbrains. Also known as biobots, skinjobs, replicants. From “pod people.”","Pods","Entoptics","Darkcast"
"4","1","A human or transhuman individual or species that has been genetically or cognitively modified so extensively as to no longer be human (a step beyond transhuman). AKA parahuman.","Posthuman: A human or transhuman individual or species that has been genetically or cognitively modified so extensively as to no longer be human (a step beyond transhuman). AKA parahuman.","Posthuman","Prometheans","X-Risk"
"4","1","A group of transhuman-friendly seed AIs that were created by the Lifeboat Project (precursors to the argonauts) years before the TITANs became selfaware and that (mostly) avoided Exsurgent infection. The Prometheans secretly back Firewall and work to defeat existential threats.","Prometheans: A group of transhuman-friendly seed AIs that were created by the Lifeboat Project (precursors to the argonauts) years before the TITANs became selfaware and that (mostly) avoided Exsurgent infection. The Prometheans secretly back Firewall and work to defeat existential threats.","Prometheans","Infomorph","Lost Generation"
"4","1","Members of the Firewall internal structure.","Proxies: Members of the Firewall internal structure.","Proxies","TITANs","X-Risk"
"4","1","Parapsychological powers acquired due to infection by the Watts-MacLeod strain of Exsurgent virus.","Psi: Parapsychological powers acquired due to infection by the Watts-MacLeod strain of Exsurgent virus.","Psi","Simulspace","Farcasting"
"4","1","A warbot synthmorph.","Reaper: A warbot synthmorph.","Reaper","Basilisk Hack","Bracewell Probe"
"4","1","A transhuman faction that seeks to lift the interdiction and reclaim Earth.","Reclaimers: A transhuman faction that seeks to lift the interdiction and reclaim Earth.","Reclaimers","Biomorph","Nanobot"
"4","1","A rural Martian. See Barsoomian. AKA Reds.","Redneck: A rural Martian. See Barsoomian. AKA Reds.","Redneck","BF","Jamming"
"4","1","Refugees from Earth who escaped only as bodiless infomorphs, but who have since been resleeved.","Re-instantiated: Refugees from Earth who escaped only as bodiless infomorphs, but who have since been resleeved.","Re-instantiated","Entoptics","Gatecrashers"
"4","1","Changing bodies or downloading into a new one. Also called remorphing, reincarnation, shifting, rebirthing.","Resleeving: Changing bodies or downloading into a new one. Also called remorphing, reincarnation, shifting, rebirthing.","Resleeving","Seed AI","Morph"
"4","1","Biomorphs optimized for life on Mars.","Rusters: Biomorphs optimized for life on Mars.","Rusters","AR","Circumsolar"
"4","1","Hostile programs that can damage or affect cyberbrains.","Scorchers: Hostile programs that can damage or affect cyberbrains.","Scorchers","Reaper","Case"
"4","1","The nomadic faction of space punks/gypsies that travel from station to station in heavily modified barges or swarms of ships. Notorious for being a roving black market.","Scum: The nomadic faction of space punks/gypsies that travel from station to station in heavily modified barges or swarms of ships. Notorious for being a roving black market.","Scum","Seed AI","VPNs"
"4","1","An AGI that is capable of recursive self-improvement, allowing it to reach god-like levels of intelligence.","Seed AI: An AGI that is capable of recursive self-improvement, allowing it to reach god-like levels of intelligence.","Seed AI","Fury","Lost Generation"
"4","1","Agents of Firewall.","Sentinels: Agents of Firewall.","Sentinels","BF","Argonauts"
"4","1","A synthetic physical morph. AKA synthmorph.","Shell: A synthetic physical morph. AKA synthmorph.","Shell","Nanobot","Indentures"
"4","1","The avatar you use in VR simulspace programs.","Simulmorph: The avatar you use in VR simulspace programs.","Simulmorph","Exsurgent Virus","Autonomists"
"4","1","Full-immersion virtual reality environments.","Simulspace: Full-immersion virtual reality environments.","Simulspace","Sleight","Farcasting"
"4","1","A point of rapid, exponential, and recursive technological progress, beyond which the future becomes impossible to predict. Often used to refer to the ascension of seed AI to god-like levels of intelligence.","Singularity: A point of rapid, exponential, and recursive technological progress, beyond which the future becomes impossible to predict. Often used to refer to the ascension of seed AI to god-like levels of intelligence.","Singularity","Simulspace","Nano-Ecology"
"4","1","People who pursue relics and evidence of the TITANs or other possible avenues to super-intelligence, either to learn more about it or to become part of a super-intelligence themselves.","Singularity Seeker: People who pursue relics and evidence of the TITANs or other possible avenues to super-intelligence, either to learn more about it or to become part of a super-intelligence themselves.","Singularity Seeker","Zeroes","Vapor"
"4","1","A biological physical morph. AKA meat, flesh.","Skin: A biological physical morph. AKA meat, flesh.","Skin","Flexbot","Trojans"
"4","1","Changing your perceived environment via augmented reality programming.","Skinning: Changing your perceived environment via augmented reality programming.","Skinning","VPNs","Circumjovian"
"4","1","A psi power.","Sleight: A psi power.","Sleight","Infomorph","Bots"
"4","1","A snake-like robotic synthmorph.","Slitheroid: A snake-like robotic synthmorph.","Slitheroid","Seed AI","Drone"
"4","1","Partially uplifted animal species (including dogs, cats, and rats). Some other large smart animals (elephants) are nearly extinct.","Smart Animals: Partially uplifted animal species (including dogs, cats, and rats). Some other large smart animals (elephants) are nearly extinct.","Smart Animals","Extrasolar","AR"
"4","1","Meshed, self-aware, location-aware devices.","Spime: Meshed, self-aware, location-aware devices.","Spime","Smart Animals","Cole Bubble"
"4","1","Humans that are genetically modified to eliminate genetic diseases and some other traits. Also known as genefixed, cleangenes, tweaks.","Splicers: Humans that are genetically modified to eliminate genetic diseases and some other traits. Also known as genefixed, cleangenes, tweaks.","Splicers","Ghost","AF"
"4","1","A synthetic morph composed from a swarm of tiny insect-sized robots.","Swarmanoid: A synthetic morph composed from a swarm of tiny insect-sized robots.","Swarmanoid","Body Bank","Slitheroid"
"4","1","Transhuman biomorphs with exotic good looks.","Sylphs: Transhuman biomorphs with exotic good looks.","Sylphs","Infugee","O’Neill Cylinder"
"4","1","Synthetic morphs. Robotic shells possessed by transhuman egos.","Synthmorph: Synthetic morphs. Robotic shells possessed by transhuman egos.","Synthmorph","Ghost","Arachnoid"
"4","1","A specific type of synthmorph. Synths are standard androids/gynoids; robots that are designed to look humanoid, though they are usually noticeably not human.","Synths: A specific type of synthmorph. Synths are standard androids/gynoids; robots that are designed to look humanoid, though they are usually noticeably not human.","Synths","Redneck","Habtech"
"4","1","Remote control.","Teleoperation: Remote control.","Teleoperation","Drone","Bioconservative"
"4","1","Someone from Titan, a moon of Saturn.","Titanian: Someone from Titan, a moon of Saturn.","Titanian","Circumjovian","Indentures"
"4","1","The human-created, recursively improving, military seed AIs that underwent a hard-takeoff singularity and prompted the Fall. Original military designation was TITAN","TITANs: The human-created, recursively improving, military seed AIs that underwent a hard-takeoff singularity and prompted the Fall. Original military designation was TITAN","TITANs","Bots","Rusters"
"4","1","A donut-shaped habitat, spun for gravity.","Torus: A donut-shaped habitat, spun for gravity.","Torus","XP","Flatlander"
"4","1","Containing genetic traits from other species.","Transgenic: Containing genetic traits from other species.","Transgenic","Exoplanet","Redneck"
"4","1","An extensively modified human.","Transhuman: An extensively modified human.","Transhuman","Ghost-riding","Pandora Gates"
"4","1","Asteroids or moons that share the same orbit as a larger planet or moon, but follow about 60 degrees ahead or behind at the L4 and L5 Lagrange points. The term Trojans normally refers to the asteroids orbiting at Jupiter’s Lagrange points, but Mars, Saturn, Neptune, and other bodies also have Trojans. See also “Greeks.”","Trojans: Asteroids or moons that share the same orbit as a larger planet or moon, but follow about 60 degrees ahead or behind at the L4 and L5 Lagrange points. The term Trojans normally refers to the asteroids orbiting at Jupiter’s Lagrange points, but Mars, Saturn, Neptune, and other bodies also have Trojans. See also “Greeks.”","Trojans","Ecto","Body Bank"
"4","1","Genetically transforming an animal species to sapience.","Uplifting: Genetically transforming an animal species to sapience.","Uplifting","Exoplanet","Flexbot"
"4","1","Space laborer.","Vacworker: Space laborer.","Vacworker","AR","Singularity Seeker"
"4","1","A failed mind emulation or crippled fork/infomorph (from vaporware).","Vapor: A failed mind emulation or crippled fork/infomorph (from vaporware).","Vapor","Flexbot","Habtech"
"4","1","Virtual Private Networks. Networks that operate within the mesh, usually encrypted for privacy/security.","VPNs: Virtual Private Networks. Networks that operate within the mesh, usually encrypted for privacy/security.","VPNs","Nano-Ecology","Lagrange Point"
"4","1","Virtual Reality. Imposing an artificially constructed hyper-real reality over one’s physical senses.","VR: Virtual Reality. Imposing an artificially constructed hyper-real reality over one’s physical senses.","VR","Farhauler","Exalts"
"4","1","Someone who transmits/sells XP recordings of their experiences.","X-Caster: Someone who transmits/sells XP recordings of their experiences.","X-Caster","Infomorph","Xenomorph"
"4","1","Alien life form.","Xenomorph: Alien life form.","Xenomorph","Vapor","Extrasolar"
"4","1","As in “X-er”—someone addicted or obsessed with XP. Sometime also used to refer to people making XP.","Xer: As in “X-er”—someone addicted or obsessed with XP. Sometime also used to refer to people making XP.","Xer","Sleight","Bracewell Probe"
"4","1","Experience Playback. Experiencing someone else’s sensory input (in real-time or recorded). Also called experia, sim, simsense, playback.","XP: Experience Playback. Experiencing someone else’s sensory input (in real-time or recorded). Also called experia, sim, simsense, playback.","XP","Brinkers","Sleight"
"4","1","Existential Risk. Something that threatens the very existence of transhumanity.","X-Risk: Existential Risk. Something that threatens the very existence of transhumanity.","X-Risk","Mentons","Cortical Stack"
"4","1","People without wireless mesh access. Common with some indentures.","Zeroes: People without wireless mesh access. Common with some indentures.","Zeroes","Muse","Redneck"
